"","gene_name","gene_id","connectivity","is_nc","module","kTotal","kWithin","log2FC","pval","is_deg"
"ENSG00000270977","AC015849","ENSG00000270977","1",TRUE,3,3.175474619266,2.89255574074198,3.70342980889273,2.19299342861641e-39,TRUE
"ENSG00000169679","BUB1","ENSG00000169679","0.223589504006337",FALSE,3,23.4701462941338,22.3735238750112,3.42354441231747,2.71504646924053e-48,TRUE
"ENSG00000138180","CEP55","ENSG00000138180","0.19944039661633",FALSE,3,21.5604798309997,20.7686219525541,3.48704669817067,6.38094840269514e-47,TRUE
"ENSG00000112984","KIF20A","ENSG00000112984","0.191439736557812",FALSE,3,20.0420257415405,18.9162391998607,3.61217909568519,3.6127997790872e-49,TRUE
"ENSG00000035499","DEPDC1B","ENSG00000035499","0.188203547011106",FALSE,3,19.4043011305196,18.8224338855063,2.98152966677087,7.0362805915235e-43,TRUE
"ENSG00000148773","MKI67","ENSG00000148773","0.187727192436954",FALSE,3,18.4814633274089,17.8966392065469,3.43954918784989,3.23898401237028e-46,TRUE
"ENSG00000157456","CCNB2","ENSG00000157456","0.187412785052597",FALSE,3,21.054687286577,20.1711313736839,2.88038323507538,7.29315523947093e-43,TRUE
"ENSG00000121152","NCAPH","ENSG00000121152","0.185573613797375",FALSE,3,19.8392998564773,19.3553179151181,2.65998473389821,3.11595880441018e-41,TRUE
"ENSG00000118193","KIF14","ENSG00000118193","0.180646519015941",FALSE,3,16.6654237618187,16.09076523276,3.71042593894475,4.92385136016641e-45,TRUE
"ENSG00000154839","SKA1","ENSG00000154839","0.176716551360844",FALSE,3,19.7696418677903,18.8585867770542,3.10009240225662,1.25985818591483e-44,TRUE
"ENSG00000186871","ERCC6L","ENSG00000186871","0.176052218372729",FALSE,3,19.2357152055472,18.1844133051601,3.02456768863175,1.32479878825724e-49,TRUE
"ENSG00000146670","CDCA5","ENSG00000146670","0.173766723846811",FALSE,3,20.8850455896647,19.981121194719,2.84266979844788,1.1854297581874e-39,TRUE
"ENSG00000135451","TROAP","ENSG00000135451","0.173357850485518",FALSE,3,19.1041266581679,18.0608428484211,3.35444019091666,5.4869957837629e-44,TRUE
"ENSG00000137812","CASC5","ENSG00000137812","0.167967793207691",FALSE,3,16.7348980988357,16.0361758797001,3.00390022204779,6.07737541681198e-47,TRUE
"ENSG00000165480","SKA3","ENSG00000165480","0.167710673519451",FALSE,3,18.7417373774785,17.3628247743203,3.04738473360158,5.08039280821567e-48,TRUE
"ENSG00000117650","NEK2","ENSG00000117650","0.167639246646196",FALSE,3,17.1474500731197,15.6998114735849,4.57703583693306,3.33091646201261e-54,TRUE
"ENSG00000077152","UBE2T","ENSG00000077152","0.165801142849069",FALSE,3,19.3808934095905,18.0086961970948,2.98972362302953,6.19368521495258e-50,TRUE
"ENSG00000166851","PLK1","ENSG00000166851","0.164702203554288",FALSE,3,18.8337582266321,18.0092210660245,3.16779932746038,1.53482318453549e-43,TRUE
"ENSG00000165304","MELK","ENSG00000165304","0.159009531500436",FALSE,3,17.2297389181211,16.6933250612967,3.49856250820121,6.68042024439542e-45,TRUE
"ENSG00000175063","UBE2C","ENSG00000175063","0.152235659704078",FALSE,3,17.1680226574019,15.9653075063992,4.00370369673411,1.59788651823134e-43,TRUE
"ENSG00000122952","ZWINT","ENSG00000122952","0.148326063548258",FALSE,3,17.6449524757753,16.6984781166986,2.50329305949579,2.75923739373512e-44,TRUE
"ENSG00000109674","NEIL3","ENSG00000109674","0.147044061249326",FALSE,3,15.0176269783378,14.1932152329427,3.55690526157037,1.70050708981196e-47,TRUE
"ENSG00000075218","GTSE1","ENSG00000075218","0.145953072396707",FALSE,3,15.8560996035046,15.1883688466888,2.8815859550296,3.53042404661444e-42,TRUE
"ENSG00000087586","AURKA","ENSG00000087586","0.14452014075776",FALSE,3,16.5807289626525,15.6407217751701,2.86747309937928,4.9220149774314e-45,TRUE
"ENSG00000121621","KIF18A","ENSG00000121621","0.139537289297477",FALSE,3,15.5537769027927,14.6572808366919,2.34855719173577,2.69813314544766e-40,TRUE
"ENSG00000093009","CDC45","ENSG00000093009","0.13399972098653",FALSE,3,15.1369866487857,14.661033599371,2.73892037553708,1.75764745310186e-36,TRUE
"ENSG00000104147","OIP5","ENSG00000104147","0.127559314672877",FALSE,3,14.2852559483418,13.7003803637927,2.30442424425574,4.95177241280466e-43,TRUE
"ENSG00000076382","SPAG5","ENSG00000076382","0.126931967538318",FALSE,3,12.3753597519957,11.8564963358769,2.54877039559175,1.28662085819903e-41,TRUE
"ENSG00000089685","BIRC5","ENSG00000089685","0.12620089702014",FALSE,3,14.7100940076546,13.9045017460675,3.70112689116386,1.13799976780996e-40,TRUE
"ENSG00000171320","ESCO2","ENSG00000171320","0.123537887650233",FALSE,3,12.0475077509962,11.5781622919201,3.03936487294597,1.34913510408702e-42,TRUE
"ENSG00000164109","MAD2L1","ENSG00000164109","0.115214528300017",FALSE,3,14.320378813198,13.5524096997113,1.98992041341969,2.78767683380611e-34,TRUE
"ENSG00000065328","MCM10","ENSG00000065328","0.114312021964869",FALSE,3,12.7706198730906,12.5185574841915,2.79165191320956,5.24853397431727e-35,TRUE
"ENSG00000189057","FAM111B","ENSG00000189057","0.112493208487369",FALSE,3,12.0620030632765,11.4094111744747,3.16212606223832,1.06294678549305e-37,TRUE
"ENSG00000127564","PKMYT1","ENSG00000127564","0.111716312678581",FALSE,3,13.9804949116081,12.4414757398623,3.87495394938849,1.40298379598539e-48,TRUE
"ENSG00000146410","MTFR2","ENSG00000146410","0.106134154504377",FALSE,3,13.0318661928895,12.6381943079921,2.41539220200911,1.56933408307471e-40,TRUE
"ENSG00000271013","AC015849","ENSG00000271013","0.103018956809898",FALSE,3,1.34883363628754,1.23918041924331,3.15148141142651,3.53270384736788e-28,TRUE
"ENSG00000185480","PARPBP","ENSG00000185480","0.0872072734445393",FALSE,3,12.4115300167021,11.3769956454345,1.6025073610952,7.11636174916344e-35,TRUE
"ENSG00000136492","BRIP1","ENSG00000136492","0.086603273218955",FALSE,3,6.96644463820972,6.51814883549903,2.08417842345409,5.80865453350922e-34,TRUE
"ENSG00000102384","CENPI","ENSG00000102384","0.086242192022935",FALSE,3,10.6005047675609,10.2333738243167,2.18136605344353,4.94270628864541e-39,TRUE
"ENSG00000007968","E2F2","ENSG00000007968","0.084158328050507",FALSE,3,10.0650763841499,9.84437389096696,2.37667041399728,4.38152736932294e-30,TRUE
"ENSG00000139734","DIAPH3","ENSG00000139734","0.0836246554364776",FALSE,3,9.40017315162154,9.15435688976663,2.22207907161143,5.55854653795213e-32,TRUE
"ENSG00000091651","ORC6","ENSG00000091651","0.0813345397306299",FALSE,3,10.2093747999874,9.74638458970092,2.18190177659434,8.87853806298906e-32,TRUE
"ENSG00000115163","CENPA","ENSG00000115163","0.0809468495114672",FALSE,3,9.54205872965751,9.17563040546684,3.01318755637806,1.0234530076479e-37,TRUE
"ENSG00000164087","POC1A","ENSG00000164087","0.0771774904191278",FALSE,3,10.9113907551171,10.4498248111669,1.91466256831462,6.18569871908793e-42,TRUE
"ENSG00000100162","CENPM","ENSG00000100162","0.0677479415226353",FALSE,3,9.9532817076264,8.52097901109046,2.7191795504144,3.1410291880645e-38,TRUE
"ENSG00000013810","TACC3","ENSG00000013810","0.06218643875972",FALSE,3,8.23796189360749,7.90020098471977,2.0659586335069,1.51182433368579e-40,TRUE
"ENSG00000073111","MCM2","ENSG00000073111","0.0569180578779109",FALSE,3,8.00355336789966,7.37829860602885,1.57651634046389,6.68643980251305e-30,TRUE
"ENSG00000164045","CDC25A","ENSG00000164045","0.0564669755709495",FALSE,3,7.88185581086418,7.67578547166072,1.87802961224814,2.995959339035e-26,TRUE
"ENSG00000187741","FANCA","ENSG00000187741","0.0564536413024461",FALSE,3,7.55730476389206,7.21030512427503,1.68424097400383,9.54259603534407e-26,TRUE
"ENSG00000132646","PCNA","ENSG00000132646","0.0535797113720713",FALSE,3,9.41458239666981,8.71821897298545,1.29011945817386,7.30554141387101e-42,TRUE
"ENSG00000163535","SGOL2","ENSG00000163535","0.0436715240184276",FALSE,3,7.64576894201827,6.36341664789778,1.41435596008332,9.79237017334802e-31,TRUE
"ENSG00000140534","TICRR","ENSG00000140534","0.0418407133102664",FALSE,3,5.38835985682137,5.25105248394692,1.68293816524284,3.09950605080949e-22,TRUE
"ENSG00000156802","ATAD2","ENSG00000156802","0.0399686494837877",FALSE,3,5.81370731735604,5.1913338194526,1.84537064264321,1.76300824285193e-33,TRUE
"ENSG00000117632","STMN1","ENSG00000117632","0.0387083620373738",FALSE,3,5.9489324641392,5.80800193358982,1.46940674236974,9.99506824961348e-32,TRUE
"ENSG00000104889","RNASEH2A","ENSG00000104889","0.0386244510538836",FALSE,3,7.73182240166352,6.94954150634963,1.61401812594613,3.79725294463733e-38,TRUE
"ENSG00000143493","INTS7","ENSG00000143493","0.0372137731469824",FALSE,3,7.87812378046049,6.45337736583512,1.28201221977336,1.73276184139806e-49,TRUE
"ENSG00000159147","DONSON","ENSG00000159147","0.034855508739662",FALSE,3,6.52091342506437,5.92233073799639,1.25291883506677,1.14168707286122e-36,TRUE
"ENSG00000156509","FBXO43","ENSG00000156509","0.0341446301130987",FALSE,3,2.8343279121223,2.5955949573116,2.05812697356724,1.12048736435739e-34,TRUE
"ENSG00000120334","CENPL","ENSG00000120334","0.0337379370151047",FALSE,3,5.88820451806885,5.3017639319567,1.36522532291281,8.05782024706048e-39,TRUE
"ENSG00000174442","ZWILCH","ENSG00000174442","0.0319851751436381",FALSE,3,8.04190908796516,5.69349839564655,1.19871526319578,8.49605144405991e-37,TRUE
"ENSG00000138346","DNA2","ENSG00000138346","0.0312805209693928",FALSE,3,5.12098587452888,4.21291784369436,1.60135315423689,4.88229978546886e-31,TRUE
"ENSG00000097046","CDC7","ENSG00000097046","0.030985314632247",FALSE,3,4.01910656724645,3.7665186099891,1.63139148219926,2.83592155775583e-25,TRUE
"ENSG00000100479","POLE2","ENSG00000100479","0.0307649387551409",FALSE,3,5.72981526520951,4.80452651799378,1.44808495494757,8.19430027450904e-40,TRUE
"ENSG00000139618","BRCA2","ENSG00000139618","0.0290004863234067",FALSE,3,4.08772730762969,3.36133394894925,1.62384630876454,8.71284786014503e-27,TRUE
"ENSG00000006634","DBF4","ENSG00000006634","0.028392596269964",FALSE,3,8.39923107422284,6.18722912852817,1.12767992710877,1.85035643681301e-32,TRUE
"ENSG00000163468","CCT3","ENSG00000163468","0.0279159657732523",FALSE,3,8.1938796789974,7.59671307294712,1.1608323977508,3.45605457375281e-41,TRUE
"ENSG00000143799","PARP1","ENSG00000143799","0.0274743720360779",FALSE,3,6.1305668294492,5.42313319235007,1.21989532950624,1.42475364731413e-51,TRUE
"ENSG00000076003","MCM6","ENSG00000076003","0.0272804244661351",FALSE,3,5.92241765226621,5.24288568064098,0.992723885321156,4.46787916620872e-27,FALSE
"ENSG00000136108","CKAP2","ENSG00000136108","0.0268694474757032",FALSE,3,4.07008348053905,3.44884257589095,1.43607920580524,4.23408460301479e-36,TRUE
"ENSG00000174871","CNIH2","ENSG00000174871","0.0268245957050055",FALSE,3,3.40920636248298,2.98111272404173,2.67724306879426,1.06805871848363e-37,TRUE
"ENSG00000149636","DSN1","ENSG00000149636","0.0260400323810633",FALSE,3,5.85074607939269,5.0508075559509,1.01279132312943,6.42507373049122e-30,TRUE
"ENSG00000137135","ARHGEF39","ENSG00000137135","0.0219867966179613",FALSE,3,3.22808400835304,3.1105449109759,1.26178571413718,1.45157193899841e-25,TRUE
"ENSG00000132182","NUP210","ENSG00000132182","0.0217969238722125",FALSE,3,5.59079599408458,4.04298001215921,2.01340905991258,4.31522323787015e-33,TRUE
"ENSG00000147536","GINS4","ENSG00000147536","0.021537996847479",FALSE,3,3.03007783077766,2.79130012453801,1.52217989818116,3.55314404249202e-24,TRUE
"ENSG00000040275","SPDL1","ENSG00000040275","0.0213058392461447",FALSE,3,6.40015716696731,4.07788843196938,0.869782834912537,3.44022266953086e-26,FALSE
"ENSG00000105173","CCNE1","ENSG00000105173","0.0199532380225635",FALSE,3,2.84772126866097,2.76270047037926,1.80722897875559,2.9017135516654e-25,TRUE
"ENSG00000049541","RFC2","ENSG00000049541","0.0195439951671027",FALSE,3,5.8488284659025,5.50260210707729,0.955827974089247,1.6974529418342e-32,FALSE
"ENSG00000113648","H2AFY","ENSG00000113648","0.0195253292841787",FALSE,3,6.2511844993759,5.3350140815973,1.06682835298839,1.26990382574744e-52,TRUE
"ENSG00000197275","RAD54B","ENSG00000197275","0.0177311579227618",FALSE,3,4.27663098741953,3.27491190772529,1.31677001558698,4.44548943947761e-27,TRUE
"ENSG00000188486","H2AFX","ENSG00000188486","0.0173118151436359",FALSE,3,4.45733114001162,3.9607298871859,1.57725928844343,4.99510977273601e-33,TRUE
"ENSG00000117877","CD3EAP","ENSG00000117877","0.0171663896656342",FALSE,3,5.89454192382467,4.86599683641336,1.05451191467531,3.02264593919449e-35,TRUE
"ENSG00000140451","PIF1","ENSG00000140451","0.0158768403893605",FALSE,3,1.31505808928884,1.27897561071637,1.54991295418992,5.13973655586412e-20,TRUE
"ENSG00000215784","FAM72D","ENSG00000215784","0.0157351586171498",FALSE,3,0.778125614157462,0.751488730040958,2.49166964016702,3.78259245927877e-27,TRUE
"ENSG00000278259","MYO19","ENSG00000278259","0.0153076207622508",FALSE,3,1.83661288559971,1.36144591908448,0.872700226207466,6.76514198069268e-19,FALSE
"ENSG00000096063","SRPK1","ENSG00000096063","0.0151457375676861",FALSE,3,6.40275905978725,3.85509767162525,0.922702321132927,3.2207543114003e-28,FALSE
"ENSG00000136518","ACTL6A","ENSG00000136518","0.0148273343603124",FALSE,3,7.40858253487045,4.92788100021071,0.917117959495807,2.16839459479674e-34,FALSE
"ENSG00000176912","TYMSOS","ENSG00000176912","0.0147654014150342",TRUE,3,1.03322527850567,0.982329973071526,1.65607648507844,3.45087901597693e-21,TRUE
"ENSG00000143621","ILF2","ENSG00000143621","0.014672500775439",FALSE,3,6.8909969411778,6.00988143268431,0.904465232029092,2.2039245217308e-33,FALSE
"ENSG00000122565","CBX3","ENSG00000122565","0.0144925790600852",FALSE,3,7.47079884921841,5.04281579131136,1.0145749152648,2.73705191557584e-46,TRUE
"ENSG00000271936","RP11-443B20","ENSG00000271936","0.0143977673415311",TRUE,3,1.56562826689636,1.44135788566054,1.1964679165184,6.133320595843e-21,TRUE
"ENSG00000165209","STRBP","ENSG00000165209","0.0139184525454165",FALSE,3,5.59324270890033,3.33951596465196,1.23608275041189,4.69139455219421e-42,TRUE
"ENSG00000011304","PTBP1","ENSG00000011304","0.0138756663054404",FALSE,3,6.58504759647762,4.94254636814067,0.636393621730729,3.40407177741677e-34,FALSE
"ENSG00000145194","ECE2","ENSG00000145194","0.0136950298806071",FALSE,3,3.71403634166313,3.22990727286978,1.66884836957317,1.04046659591423e-29,TRUE
"ENSG00000134375","TIMM17A","ENSG00000134375","0.0131801992913641",FALSE,3,5.52597084473543,4.68272478840005,1.11548533794082,1.98192629377909e-40,TRUE
"ENSG00000247077","PGAM5","ENSG00000247077","0.0130775031912349",FALSE,3,5.72234368306329,4.94631547676504,0.895141846029929,4.84490201866812e-30,FALSE
"ENSG00000116957","TBCE","ENSG00000116957","0.0127599730747945",FALSE,3,5.81482767359611,4.52136320649999,0.872389904537338,3.3339928561276e-36,FALSE
"ENSG00000160606","TLCD1","ENSG00000160606","0.0124509150214835",FALSE,3,2.86187504956941,2.25906896964416,2.14708092425029,3.60013732457634e-35,TRUE
"ENSG00000150753","CCT5","ENSG00000150753","0.0121584912324481",FALSE,3,3.98593782068037,3.60228605937874,0.866440746369741,7.02906822768421e-25,FALSE
"ENSG00000109265","KIAA1211","ENSG00000109265","0.0119765796965686",FALSE,3,0.60745305594207,0.431706670038311,3.10445423478246,3.0758321385286e-32,TRUE
"ENSG00000164934","DCAF13","ENSG00000164934","0.0118520179392742",FALSE,3,4.85631807800713,4.11624482488714,1.14758152738823,1.95088149709236e-34,TRUE
"ENSG00000156787","TBC1D31","ENSG00000156787","0.0117604425748712",FALSE,3,2.87088375561543,2.30608399762261,1.11501093547392,1.55787324459351e-26,TRUE
"ENSG00000184992","BRI3BP","ENSG00000184992","0.0112854021804224",FALSE,3,2.83937835578701,2.15802913212674,1.23494501804478,9.93730789651486e-34,TRUE
"ENSG00000234996","RP11-480I12","ENSG00000234996","0.0111762923576341",TRUE,3,0.563894425321041,0.466238505461797,1.83515416400486,3.00490276571978e-25,TRUE
"ENSG00000225077","LINC00337","ENSG00000225077","0.011091044289217",TRUE,3,0.461958186414812,0.422902594628595,NA,NA,NA
"ENSG00000167977","KCTD5","ENSG00000167977","0.0108650601921051",FALSE,3,3.4109399361815,3.02782297845924,1.08772585586811,3.14625333747109e-40,TRUE
"ENSG00000101811","CSTF2","ENSG00000101811","0.0107134709721315",FALSE,3,4.39034578945942,3.23407504948901,0.894038706323736,2.38863564674455e-36,FALSE
"ENSG00000138018","EPT1","ENSG00000138018","0.0105008476072547",FALSE,3,5.19968308491619,2.43029754081107,1.16766996293679,6.99139168378918e-32,TRUE
"ENSG00000132341","RAN","ENSG00000132341","0.0104690644636545",FALSE,3,7.44808878506974,5.70820712511506,0.731720671137093,2.63392825699927e-26,FALSE
"ENSG00000143367","TUFT1","ENSG00000143367","0.0104448549146975",FALSE,3,1.90539061876621,1.59984649393897,1.5665352338266,9.11318506108014e-41,TRUE
"ENSG00000130520","LSM4","ENSG00000130520","0.0101407075133802",FALSE,3,4.76383140838284,4.33908617772909,1.17334322694894,6.66734992426824e-36,TRUE
"ENSG00000143294","PRCC","ENSG00000143294","0.0100816870524377",FALSE,3,6.2687718108608,5.66865793472979,0.871254814315881,7.91521361149068e-37,FALSE
"ENSG00000117139","KDM5B","ENSG00000117139","0.009848185808663",FALSE,3,4.34709133541754,2.41114107844556,1.12891354129825,2.27171681920785e-40,TRUE
"ENSG00000165704","HPRT1","ENSG00000165704","0.00970949655358603",FALSE,3,3.53633161910809,2.80002702165986,1.09490557433903,2.64177882613911e-28,TRUE
"ENSG00000088305","DNMT3B","ENSG00000088305","0.00970115843616179",FALSE,3,0.95229143759945,0.814936765658662,1.05522360932793,2.14422149135546e-17,TRUE
"ENSG00000136628","EPRS","ENSG00000136628","0.00965343113529892",FALSE,3,4.48617240682056,2.96613084320348,0.962979426209333,2.72369509622066e-33,FALSE
"ENSG00000236675","MTX1P1","ENSG00000236675","0.00939294279361023",FALSE,3,0.715370524817762,0.643832491914064,1.33870292002154,1.47201785918739e-29,TRUE
"ENSG00000123416","TUBA1B","ENSG00000123416","0.00906590595176292",FALSE,3,2.28509002545717,2.05296479891642,0.761981542416257,2.56987156125269e-20,FALSE
"ENSG00000168439","STIP1","ENSG00000168439","0.00896093572267049",FALSE,3,3.69797491018332,3.35441108002202,0.988621355972761,3.54574659092396e-30,FALSE
"ENSG00000188368","PRR19","ENSG00000188368","0.0089024256584858",FALSE,3,4.61851651597718,3.09552766911126,1.92054646275482,6.93279065252843e-35,TRUE
"ENSG00000163882","POLR2H","ENSG00000163882","0.00879169455381037",FALSE,3,5.22466756973074,4.39094802087224,0.839706647341449,3.21761008880961e-33,FALSE
"ENSG00000109685","WHSC1","ENSG00000109685","0.0087064537271664",FALSE,3,1.66925015348187,1.14979049174451,0.833643569293826,2.42093776055156e-25,FALSE
"ENSG00000135823","STX6","ENSG00000135823","0.00863417362529335",FALSE,3,4.94822344517491,3.36115071228974,0.844594037698425,8.36311782682257e-41,FALSE
"ENSG00000143748","NVL","ENSG00000143748","0.0086281368921191",FALSE,3,2.34767314122038,1.80569166577784,1.25275309854133,1.21104150820323e-38,TRUE
"ENSG00000003249","DBNDD1","ENSG00000003249","0.0085756539517471",FALSE,3,2.33025266820658,1.6995592224188,1.75022544778852,5.83829840636129e-29,TRUE
"ENSG00000106327","TFR2","ENSG00000106327","0.00845296876417242",FALSE,3,0.574863141772162,0.480608920202144,2.48602011204268,3.34020516434378e-26,TRUE
"ENSG00000163467","TSACC","ENSG00000163467","0.00844623370264364",FALSE,3,0.602485595378276,0.533072157825838,1.58527071847331,4.49077658549127e-33,TRUE
"ENSG00000179958","DCTPP1","ENSG00000179958","0.00841021716384304",FALSE,3,4.22644450608007,3.65542721350661,1.20900312712682,2.10382444377363e-35,TRUE
"ENSG00000123374","CDK2","ENSG00000123374","0.00840780193128022",FALSE,3,4.1541220936969,2.50202416981549,0.696406630067705,7.00662233244081e-20,FALSE
"ENSG00000196230","TUBB","ENSG00000196230","0.00838586368708699",FALSE,3,1.63919920428774,1.51931972415274,0.756234221406377,6.60959607341641e-24,FALSE
"ENSG00000198056","PRIM1","ENSG00000198056","0.00832898228776921",FALSE,3,5.11090872753507,2.30369229104806,0.735451686745667,2.85585666957325e-17,FALSE
"ENSG00000168476","REEP4","ENSG00000168476","0.00827569679763603",FALSE,3,1.37793699294577,1.2583818984063,1.18790297209707,7.92356170364209e-28,TRUE
"ENSG00000182134","TDRKH","ENSG00000182134","0.00825485208637176",FALSE,3,1.6112371171157,1.33884547868865,1.14593759104379,1.5735730339857e-29,TRUE
"ENSG00000143761","ARF1","ENSG00000143761","0.00813451780001012",FALSE,3,5.03112709848967,4.66179142655346,1.01560835502979,8.08787467924755e-44,TRUE
"ENSG00000273162","RP11-108L7","ENSG00000273162","0.00808907915963599",TRUE,3,0.558107915662208,0.486347070973149,1.72814880355556,2.09831565098307e-29,TRUE
